Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,No of Beds
"$229,000","140 Hertel Ave
Buffalo, NY 14207","9
bed","4
bath",,,
"$1,450","112 Genesee St Apt 4
Buffalo, NY 14203","1
bed","1
bath","900sqft
900 square feet","PetsOK
pet friendly policy",
$800,"77 Johnson Park Unit 7
Buffalo, NY 14201",Studio,"1
bath","400sqft
400 square feet",,
"$1,200","28 Winter St
Buffalo, NY 14213","3
bed","1
bath","2,520sqft
2,520 square feet",,
"$885,000","374 Depew Ave
Buffalo, NY 14214","4
bed","2.5+
bath","4,324sqft
4,324 square feet",,
"$20,000","68 Pulaski St
Buffalo, NY 14206","4
bed","2
bath","1,728sqft
1,728 square feet",,
"$229,000","140 Hertel Ave
Buffalo, NY 14207","9
bed","4
bath","6,306sqft
6,306 square feet",,
$900,"105 Clarence Ave Unit 2
Buffalo, NY 14215","2
bed","1
bath","1,980sqft
1,980 square feet",,
"$1,150","39 Coronada St Apt 2
Buffalo, NY 14220","3
bed","1
bath","2,000sqft
2,000 square feet",,
"$1,875","114 Ashland Ave Apt 4
Buffalo, NY 14222","3
bed","2
bath","4,324sqft
4,324 square feet",,
"$885,000","374 Depew Ave
Buffalo, NY 14214","4
bed","2.5+
bath","1,728sqft
1,728 square feet",,
"$20,000","68 Pulaski St
Buffalo, NY 14206","4
bed","2
bath","6,306sqft
6,306 square feet",,
"$229,000","140 Hertel Ave
Buffalo, NY 14207","9
bed","4
bath",,,
"$1,550","360 Hoyt St
Buffalo, NY 14213","2
bed","1
bath","2,270sqft
2,270 square feet",,
$900,"294 S Elmwood Ave Apt 1
Buffalo, NY 14201","1
bed","1
bath","626sqft
626 square feet",,
"$1,695","32 Tracy St Unit B
Buffalo, NY 14201","2
bed","1.5
bath","1,200sqft
1,200 square feet",,
"$885,000","374 Depew Ave
Buffalo, NY 14214","4
bed","2.5+
bath","4,324sqft
4,324 square feet",,
"$20,000","68 Pulaski St
Buffalo, NY 14206","4
bed","2
bath","1,728sqft
1,728 square feet",,
"$229,000","140 Hertel Ave
Buffalo, NY 14207","9
bed","4
bath","6,306sqft
6,306 square feet",,
"$1,295","869 Delaware Ave Apt 9
Buffalo, NY 14209","1
bed","1
bath","816sqft
816 square feet","CatsOK
cat friendly policy",
"$1,560","1335 Millersport Hwy Apt 3
Buffalo, NY 14221","2
bed","1
bath","713sqft
713 square feet",,
"$1,350","118 Richfield Ave
Buffalo, NY 14220","2
bed","1
bath","1,150sqft
1,150 square feet",,
"$885,000","374 Depew Ave
Buffalo, NY 14214","4
bed","2.5+
bath","4,324sqft
4,324 square feet",,
"$20,000","68 Pulaski St
Buffalo, NY 14206","4
bed","2
bath","1,728sqft
1,728 square feet",,
"$229,000","140 Hertel Ave
Buffalo, NY 14207","9
bed","4
bath","6,306sqft
6,306 square feet",,
$800,"33 Allen St Apt 2
Buffalo, NY 14202","1
bed","1
bath","700sqft
700 square feet","PetsOK
pet friendly policy",
$900,"2456 Delaware Ave Apt 5
Buffalo, NY 14216","1
bed","1
bath","4,324sqft
4,324 square feet",,
"$1,175","1235 Eggert Rd
Buffalo, NY 14226","1
bed","1
bath","1,728sqft
1,728 square feet",,
"$885,000","374 Depew Ave
Buffalo, NY 14214","4
bed","2.5+
bath","6,306sqft
6,306 square feet",,
"$20,000","68 Pulaski St
Buffalo, NY 14206","4
bed","2
bath",,,
"$229,000","140 Hertel Ave
Buffalo, NY 14207","9
bed","4
bath",,,
"$1,074 - $1,275","Edgebrook Estates
65 Edgebrook Est, Buffalo, NY 14227","1 - 2
bed","1
bath","600 - 840sqft
600 - 840 square feet","PetsOK
pet friendly policy",
"$2,700","15 Hughes Ave
Buffalo, NY 14208","7
bed","2
bath","1,650sqft
1,650 square feet","PetsOK
pet friendly policy",
"$1,550 - $1,625","Michigan & Best LLC
1145 Michigan Ave, Buffalo, NY 14209","1
bed","1
bath","560 - 570sqft
560 - 570 square feet","PetsOK
pet friendly policy",
"$885,000","374 Depew Ave
Buffalo, NY 14214","4
bed","2.5+
bath","4,324sqft
4,324 square feet",,
"$20,000","68 Pulaski St
Buffalo, NY 14206","4
bed","2
bath","1,728sqft
1,728 square feet",,
"$229,000","140 Hertel Ave
Buffalo, NY 14207","9
bed","4
bath","6,306sqft
6,306 square feet",,
"$6,030","Buffalo, NY",,1.0,"1,163 Sq Ft",,3
,"439 University Avenue, Unit Upper Unit",,,,,
"$1,550","Buffalo, NY",,1.0,"1,300 Sq Ft",,3
,"Buffalo, NY",,,,,
"$2,400","Buffalo, NY",,1.0,"1,200 Sq Ft",,3
,"Buffalo, NY",,,,,
"$11,160","360 Hoyt Street, Buffalo, NY 14213, USA",,3.0,"2,975 Sq Ft",,3
,"Buffalo, NY",,,,,
"$4,290","Buffalo, NY",,2.0,"1,200 Sq Ft",,3
,"561 Ontario Street, Buffalo, NY 14207, USA",,,,,
"$3,900","Buffalo, NY",,1.0,"1,200 Sq Ft",,2
,"Buffalo, NY",,,,,
"$1,550","42 Alden Avenue, Buffalo, NY 14216, USA",,1.0,"2,270 Sq Ft",,2
,"Buffalo, NY",,,,,
"$5,760","Buffalo, NY",,1.0,"1,450 Sq Ft",,4
,"Buffalo, NY",,,,,
"$8,880","617 Niagara Street, Buffalo, NY 14201, USA",,1.0,"8,005 Sq Ft",,3
,"Buffalo, NY",,,,,
"$1,000","Buffalo, NY",,1.0,"1,222 Sq Ft",,2
,"Buffalo, NY",,,,,
"$7,890","58 Trinity Place, Buffalo, NY 14201, USA",,2.0,"2,700 Sq Ft",,3
,"147 West Hazeltine Avenue, Buffalo, NY 14217, USA",,,,,
"$11,790",,,1.0,512 Sq Ft,,Studio
,,,,,,
"$2,100",,,2.0,315 Sq Ft,,3
,,,,,,
"$7,650",,,3.0,"1,222 Sq Ft",,3
,,,,,,
"$10,500",,,2.0,,,4
,,,,,,
"$8,880",,,1.0,,,2
,,,,,,
"$2,100",,,3.0,,,1
,,,,,,
"$3,750",,,1.0,,,4
,,,,,,
"$2,910",,,1.0,,,1
,,,,,,
"$2,700",,,1.0,,,1
,,,,,,
$800,,,2.0,,,Studio
,,,,,,
"$2,495",,,,,,3
,,,,,,
"$1,200","1168 Tonawanda Street, Buffalo, NY 14207, USA",,1.0,"1,217 Sq Ft",,2
,"68 Sunset Street, Buffalo, NY 14207, USA",,,,,
"$1,300",45 South Street,,1.0,"1,760 Sq Ft",,2
,"77 North Johnson Park, Buffalo, NY 14201, USA",,,,,
"$2,500","655 Lafayette Avenue, Buffalo, NY 14222, USA",,1.0,"1,350 Sq Ft",,3
,"91 Grant Street, Buffalo, NY 14213, USA",,,,,
$800,"Buffalo, NY",,1.0,400 Sq Ft,,Studio
,"Buffalo, NY",,,,,
"$2,600",407 Norwood Ave,,1.0,"1,300 Sq Ft",,Studio
,"Buffalo, NY",,,,,
"$1,100",79 Meech Street,,1.0,805 Sq Ft,,2
,25 Homer Ave,,,,,
"$3,750","Buffalo, NY",,2.0,"38,606 Sq Ft",,2
,"918 Main Street, Buffalo, NY 14202, USA",,,,,
"$9,780","452 Franklin Street, Buffalo, NY 14202, USA",,1.0,900 Sq Ft,,4
,"Buffalo, NY",,,,,
$625,"Buffalo, NY",,1.0,"1,901 Sq Ft",,2
,"90 Erb Street, Buffalo, NY 14215, USA",,,,,
"$2,550","20 Medford Place, Unit Lower",,2.0,"1,335 Sq Ft",,2
,"Buffalo, NY",,,,,
$600,"Buffalo, NY",,1.0,"2,100 Sq Ft",,5
,"The Buffalo Institute for Contemporary Art (BICA), Essex Street, Buffalo, NY 14213, USA",,,,,
"$1,599",,,1.0,"5,150 Sq Ft",,1
,,,,,,
"$4,110",,,1.0,,,2
,,,,,,
"$1,900",,,1.0,,,1
,,,,,,
"$1,200",,,2.0,,,1
,,,,,,
"$7,500",,,2.0,,,5
,,,,,,
"$5,730",,,1.0,,,2
,,,,,,
$850,,,1.0,,,2
,,,,,,
"$1,400",,,1.0,,,3
,,,,,,
"$3,480",,,2.0,,,3
,,,,,,
"$5,700",,,1.0,,,4
,,,,,,
"$1,900",,,,,,1
,,,,,,
"$6,030","Buffalo, NY",,1.0,"1,163 Sq Ft",,3
,"439 University Avenue, Unit Upper Unit",,,,,
"$1,550","Buffalo, NY",,1.0,"1,300 Sq Ft",,3
,"Buffalo, NY",,,,,
"$2,400","Buffalo, NY",,1.0,"1,200 Sq Ft",,3
,"Buffalo, NY",,,,,
"$11,160","360 Hoyt Street, Buffalo, NY 14213, USA",,3.0,"2,975 Sq Ft",,3
,"Buffalo, NY",,,,,
"$4,290","Buffalo, NY",,2.0,"1,200 Sq Ft",,3
,"561 Ontario Street, Buffalo, NY 14207, USA",,,,,
"$3,900","Buffalo, NY",,1.0,"1,200 Sq Ft",,2
,"Buffalo, NY",,,,,
"$1,550","42 Alden Avenue, Buffalo, NY 14216, USA",,1.0,"2,270 Sq Ft",,2
,"Buffalo, NY",,,,,
"$5,760","Buffalo, NY",,1.0,"1,450 Sq Ft",,4
,"Buffalo, NY",,,,,
"$8,880","617 Niagara Street, Buffalo, NY 14201, USA",,1.0,"8,005 Sq Ft",,3
,"Buffalo, NY",,,,,
"$1,000","Buffalo, NY",,1.0,"1,222 Sq Ft",,2
,"Buffalo, NY",,,,,
"$7,890","58 Trinity Place, Buffalo, NY 14201, USA",,2.0,"2,700 Sq Ft",,3
,"147 West Hazeltine Avenue, Buffalo, NY 14217, USA",,,,,
"$11,790",,,1.0,512 Sq Ft,,Studio
,,,,,,
"$2,100",,,2.0,315 Sq Ft,,3
,,,,,,
"$7,650",,,3.0,"1,222 Sq Ft",,3
,,,,,,
"$10,500",,,2.0,,,4
,,,,,,
"$8,880",,,1.0,,,2
,,,,,,
"$2,100",,,3.0,,,1
,,,,,,
"$3,750",,,1.0,,,4
,,,,,,
"$2,910",,,1.0,,,1
,,,,,,
"$2,700",,,1.0,,,1
,,,,,,
$800,,,2.0,,,Studio
,,,,,,
"$2,495",,,,,,3
,,,,,,
"$1,200","1168 Tonawanda Street, Buffalo, NY 14207, USA",,1.0,"1,217 Sq Ft",,2
,"68 Sunset Street, Buffalo, NY 14207, USA",,,,,
"$1,300",45 South Street,,1.0,"1,760 Sq Ft",,2
,"77 North Johnson Park, Buffalo, NY 14201, USA",,,,,
"$2,500","655 Lafayette Avenue, Buffalo, NY 14222, USA",,1.0,"1,350 Sq Ft",,3
,"91 Grant Street, Buffalo, NY 14213, USA",,,,,
$800,"Buffalo, NY",,1.0,400 Sq Ft,,Studio
,"Buffalo, NY",,,,,
"$2,600",407 Norwood Ave,,1.0,"1,300 Sq Ft",,Studio
,"Buffalo, NY",,,,,
"$1,100",79 Meech Street,,1.0,805 Sq Ft,,2
,25 Homer Ave,,,,,
"$3,750","Buffalo, NY",,2.0,"38,606 Sq Ft",,2
,"918 Main Street, Buffalo, NY 14202, USA",,,,,
"$9,780","452 Franklin Street, Buffalo, NY 14202, USA",,1.0,900 Sq Ft,,4
,"Buffalo, NY",,,,,
$625,"Buffalo, NY",,1.0,"1,901 Sq Ft",,2
,"90 Erb Street, Buffalo, NY 14215, USA",,,,,
"$2,550","20 Medford Place, Unit Lower",,2.0,"1,335 Sq Ft",,2
,"Buffalo, NY",,,,,
$600,"Buffalo, NY",,1.0,"2,100 Sq Ft",,5
,"The Buffalo Institute for Contemporary Art (BICA), Essex Street, Buffalo, NY 14213, USA",,,,,
"$1,599",,,1.0,"5,150 Sq Ft",,1
,,,,,,
"$4,110",,,1.0,,,2
,,,,,,
"$1,900",,,1.0,,,1
,,,,,,
"$1,200",,,2.0,,,1
,,,,,,
"$7,500",,,2.0,,,5
,,,,,,
"$5,730",,,1.0,,,2
,,,,,,
$850,,,1.0,,,2
,,,,,,
"$1,400",,,1.0,,,3
,,,,,,
"$3,480",,,2.0,,,3
,,,,,,
"$5,700",,,1.0,,,4
,,,,,,
"$1,900",,,,,,1
,,,,,,
"$6,030","Buffalo, NY",,1.0,"1,163 Sq Ft",,3
,"439 University Avenue, Unit Upper Unit",,,,,
"$1,550","Buffalo, NY",,1.0,"1,300 Sq Ft",,3
,"Buffalo, NY",,,,,
"$2,400","Buffalo, NY",,1.0,"1,200 Sq Ft",,3
,"Buffalo, NY",,,,,
"$11,160","360 Hoyt Street, Buffalo, NY 14213, USA",,3.0,"2,975 Sq Ft",,3
,"Buffalo, NY",,,,,
"$4,290","Buffalo, NY",,2.0,"1,200 Sq Ft",,3
,"561 Ontario Street, Buffalo, NY 14207, USA",,,,,
"$3,900","Buffalo, NY",,1.0,"1,200 Sq Ft",,2
,"Buffalo, NY",,,,,
"$1,550","42 Alden Avenue, Buffalo, NY 14216, USA",,1.0,"2,270 Sq Ft",,2
,"Buffalo, NY",,,,,
"$5,760","Buffalo, NY",,1.0,"1,450 Sq Ft",,4
,"Buffalo, NY",,,,,
"$8,880","617 Niagara Street, Buffalo, NY 14201, USA",,1.0,"8,005 Sq Ft",,3
,"Buffalo, NY",,,,,
"$1,000","Buffalo, NY",,1.0,"1,222 Sq Ft",,2
,"Buffalo, NY",,,,,
"$7,890","58 Trinity Place, Buffalo, NY 14201, USA",,2.0,"2,700 Sq Ft",,3
,"147 West Hazeltine Avenue, Buffalo, NY 14217, USA",,,,,
"$11,790",,,1.0,512 Sq Ft,,Studio
,,,,,,
"$2,100",,,2.0,315 Sq Ft,,3
,,,,,,
"$7,650",,,3.0,"1,222 Sq Ft",,3
,,,,,,
"$10,500",,,2.0,,,4
,,,,,,
"$8,880",,,1.0,,,2
,,,,,,
"$2,100",,,3.0,,,1
,,,,,,
"$3,750",,,1.0,,,4
,,,,,,
"$2,910",,,1.0,,,1
,,,,,,
"$2,700",,,1.0,,,1
,,,,,,
$800,,,2.0,,,Studio
,,,,,,
"$2,495",,,,,,3
,,,,,,
"$1,200","1168 Tonawanda Street, Buffalo, NY 14207, USA",,1.0,"1,217 Sq Ft",,2
,"68 Sunset Street, Buffalo, NY 14207, USA",,,,,
"$1,300",45 South Street,,1.0,"1,760 Sq Ft",,2
,"77 North Johnson Park, Buffalo, NY 14201, USA",,,,,
"$2,500","655 Lafayette Avenue, Buffalo, NY 14222, USA",,1.0,"1,350 Sq Ft",,3
,"91 Grant Street, Buffalo, NY 14213, USA",,,,,
$800,"Buffalo, NY",,1.0,400 Sq Ft,,Studio
,"Buffalo, NY",,,,,
"$2,600",407 Norwood Ave,,1.0,"1,300 Sq Ft",,Studio
,"Buffalo, NY",,,,,
"$1,100",79 Meech Street,,1.0,805 Sq Ft,,2
,25 Homer Ave,,,,,
"$3,750","Buffalo, NY",,2.0,"38,606 Sq Ft",,2
,"918 Main Street, Buffalo, NY 14202, USA",,,,,
"$9,780","452 Franklin Street, Buffalo, NY 14202, USA",,1.0,900 Sq Ft,,4
,"Buffalo, NY",,,,,
$625,"Buffalo, NY",,1.0,"1,901 Sq Ft",,2
,"90 Erb Street, Buffalo, NY 14215, USA",,,,,
"$2,550","20 Medford Place, Unit Lower",,2.0,"1,335 Sq Ft",,2
,"Buffalo, NY",,,,,
$600,"Buffalo, NY",,1.0,"2,100 Sq Ft",,5
,"The Buffalo Institute for Contemporary Art (BICA), Essex Street, Buffalo, NY 14213, USA",,,,,
"$1,599",,,1.0,"5,150 Sq Ft",,1
,,,,,,
"$4,110",,,1.0,,,2
,,,,,,
"$1,900",,,1.0,,,1
,,,,,,
"$1,200",,,2.0,,,1
,,,,,,
"$7,500",,,2.0,,,5
,,,,,,
"$5,730",,,1.0,,,2
,,,,,,
$850,,,1.0,,,2
,,,,,,
"$1,400",,,1.0,,,3
,,,,,,
"$3,480",,,2.0,,,3
,,,,,,
"$5,700",,,1.0,,,4
,,,,,,
"$1,900",,,,,,1
,,,,,,
"$6,030","Buffalo, NY",,1.0,"1,163 Sq Ft",,3
,"439 University Avenue, Unit Upper Unit",,,,,
"$1,550","Buffalo, NY",,1.0,"1,300 Sq Ft",,3
,"Buffalo, NY",,,,,
"$2,400","Buffalo, NY",,1.0,"1,200 Sq Ft",,3
,"Buffalo, NY",,,,,
"$11,160","360 Hoyt Street, Buffalo, NY 14213, USA",,3.0,"2,975 Sq Ft",,3
,"Buffalo, NY",,,,,
"$4,290","Buffalo, NY",,2.0,"1,200 Sq Ft",,3
,"561 Ontario Street, Buffalo, NY 14207, USA",,,,,
"$3,900","Buffalo, NY",,1.0,"1,200 Sq Ft",,2
,"Buffalo, NY",,,,,
"$1,550","42 Alden Avenue, Buffalo, NY 14216, USA",,1.0,"2,270 Sq Ft",,2
,"Buffalo, NY",,,,,
"$5,760","Buffalo, NY",,1.0,"1,450 Sq Ft",,4
,"Buffalo, NY",,,,,
"$8,880","617 Niagara Street, Buffalo, NY 14201, USA",,1.0,"8,005 Sq Ft",,3
,"Buffalo, NY",,,,,
"$1,000","Buffalo, NY",,1.0,"1,222 Sq Ft",,2
,"Buffalo, NY",,,,,
"$7,890","58 Trinity Place, Buffalo, NY 14201, USA",,2.0,"2,700 Sq Ft",,3
,"147 West Hazeltine Avenue, Buffalo, NY 14217, USA",,,,,
"$11,790",,,1.0,512 Sq Ft,,Studio
,,,,,,
"$2,100",,,2.0,315 Sq Ft,,3
,,,,,,
"$7,650",,,3.0,"1,222 Sq Ft",,3
,,,,,,
"$10,500",,,2.0,,,4
,,,,,,
"$8,880",,,1.0,,,2
,,,,,,
"$2,100",,,3.0,,,1
,,,,,,
"$3,750",,,1.0,,,4
,,,,,,
"$2,910",,,1.0,,,1
,,,,,,
"$2,700",,,1.0,,,1
,,,,,,
$800,,,2.0,,,Studio
,,,,,,
"$2,495",,,,,,3
,,,,,,
"$2,350","656 W Wrightwood Ave, Chicago, IL 60614, USA",,1.0,600 Sq Ft,,1
,"445 W Barry Ave, Chicago, IL 60657, USA",,,,,
"$3,050","2219 N Clybourn Ave, Unit 502",,2.0,950 Sq Ft,,3
,"11146 S Vernon Ave, Unit 1",,,,,
"$3,600","490 North Kingsbury Street, Unit 1307",,2.0,"1,200 Sq Ft",,2
,"5860 N Kenmore Ave, Unit 302",,,,,
"$1,700","1553 N Wells St, Unit 501",,1.0,"1,500 Sq Ft",,3
,"4637 N Ashland Ave, Unit 00103I",,,,,
"$3,589","536 W Arlington Pl, Chicago, IL 60614, USA",,2.0,"1,350 Sq Ft",,2
,"Running Away Multisport, 2217-2219 North Clybourn Avenue, Chicago, IL 60614, USA",,,,,
"$1,550","1440 South Wabash Avenue, Chicago, IL 60605, USA",,1.0,520 Sq Ft,,1
,"3000 80th Avenue, River Grove, Leyden Township, IL 60171, USA",,,,,
"$4,150","3320 W Altgeld St, Unit 1F",,2.0,"1,115 Sq Ft",,2
,"124 W Polk St, Unit 00205",,,,,
"$4,995","3326 W North Ave, Unit 3",,2.5,"1,900 Sq Ft",,3
,"6621 N Northwest Hwy, Unit 1N",,,,,
"$2,750","1608 W Sherwin Ave, Unit 503",,1.0,700 Sq Ft,,2
,"2341 W Montana St, Unit 001RA",,,,,
"$3,295","710 S Wells St, Unit 1611",,2.0,"1,200 Sq Ft",,2
,"744 N Clark St, Unit 2305",,,,,
"$2,900","2522 N Milwaukee Ave, Unit 1 Bed",,2.0,"1,050 Sq Ft",,2
,"195 N Harbor Dr, Unit 3104",,,,,
"$2,750",,,2.0,"1,010 Sq Ft",,2
,,,,,,
"$2,150",,,1.0,"1,200 Sq Ft",,2
,,,,,,
"$2,150",,,1.0,"1,100 Sq Ft",,1
,,,,,,
"$3,200",,,2.0,"1,450 Sq Ft",,3
,,,,,,
"$1,800",,,2.0,"1,200 Sq Ft",,2
,,,,,,
"$1,300",,,1.0,475 Sq Ft,,Studio
,,,,,,
"$2,200",,,1.0,"2,000 Sq Ft",,3
,,,,,,
"$3,078",,,2.0,"1,000 Sq Ft",,2
,,,,,,
"$2,105",,,1.0,757 Sq Ft,,1
,,,,,,
"$2,760",,,1.0,"1,300 Sq Ft",,1
,,,,,,
"$3,100",,,2.0,,,2
,,,,,,
"$2,650","2839 North Whipple Street, Chicago, IL 60618, USA",,1.0,"1,600 Sq Ft",,2
,"4451 North Tripp Avenue, Chicago, IL 60630, USA",,,,,
"$5,000","3918 N Kedvale Ave, Unit 02N",,3.0,"3,005 Sq Ft",,4
,"4034 N Ashland Ave, Unit CL#4034-W2",,,,,
"$1,850","724 W Roscoe St, Unit 726-SG",,1.0,600 Sq Ft,,2
,"1324 W 19th St, Unit 02R",,,,,
"$1,525","2906 N Mildred Ave, Chicago, IL 60657, USA",,1.0,"1,185 Sq Ft",,1
,"4515 North Christiana Avenue, Chicago, IL 60625, USA",,,,,
"$2,295","3734-3738 West Lawrence Avenue, Chicago, IL 60625, USA",,1.0,"1,000 Sq Ft",,1
,"745 N Noble St, Unit 2R",,,,,
"$1,500","2047 N Hoyne Ave, Unit 1S",,1.0,940 Sq Ft,,1
,"1425 N Dearborn St, Unit 00C1",,,,,
"$1,925","1160 W Grand Ave, Unit 2R",,1.0,800 Sq Ft,,1
,"3421 W Mc Lean Ave, Unit 1",,,,,
"$2,400","1213 W Erie St, Unit CH",,1.0,800 Sq Ft,,3
,"7427 N Clark St, Unit 3",,,,,
"$1,500","Chicago, IL",,1.0,900 Sq Ft,,2
,1501 West Fullerton Avenue,,,,,
"$1,500","Concord City Centre, 208 West Washington Street, Chicago, IL 60606, USA",,1.0,"1,100 Sq Ft",,1
,"445 W Wellington Ave, Unit 1E",,,,,
"$2,650","429 W Belden Ave, Unit cl#GDNS",,1.0,"1,000 Sq Ft",,2
,"606 East Woodland Park, Chicago, IL 60616, USA",,,,,
"$2,095",,,1.0,614 Sq Ft,,1
,,,,,,
"$1,890",,,1.0,"1,100 Sq Ft",,1
,,,,,,
"$1,995",,,1.0,1 Sq Ft,,2
,,,,,,
"$3,495",,,3.0,"1,039 Sq Ft",,2
,,,,,,
"$2,300",,,1.0,,,3
,,,,,,
"$2,760",,,1.0,,,1
,,,,,,
"$2,500",,,1.0,,,2
,,,,,,
"$2,800",,,2.0,,,2
,,,,,,
"$1,995",,,1.0,,,1
,,,,,,
"$1,895",,,1.0,,,1
,,,,,,
"$2,245",,,2.0,,,2
,,,,,,
"$2,350","656 W Wrightwood Ave, Chicago, IL 60614, USA",,1.0,600 Sq Ft,,1
,"445 W Barry Ave, Chicago, IL 60657, USA",,,,,
"$3,050","2219 N Clybourn Ave, Unit 502",,2.0,950 Sq Ft,,3
,"11146 S Vernon Ave, Unit 1",,,,,
"$3,600","490 North Kingsbury Street, Unit 1307",,2.0,"1,200 Sq Ft",,2
,"5860 N Kenmore Ave, Unit 302",,,,,
"$1,700","1553 N Wells St, Unit 501",,1.0,"1,500 Sq Ft",,3
,"4637 N Ashland Ave, Unit 00103I",,,,,
"$3,589","536 W Arlington Pl, Chicago, IL 60614, USA",,2.0,"1,350 Sq Ft",,2
,"Running Away Multisport, 2217-2219 North Clybourn Avenue, Chicago, IL 60614, USA",,,,,
"$1,550","1440 South Wabash Avenue, Chicago, IL 60605, USA",,1.0,520 Sq Ft,,1
,"3000 80th Avenue, River Grove, Leyden Township, IL 60171, USA",,,,,
"$4,150","3320 W Altgeld St, Unit 1F",,2.0,"1,115 Sq Ft",,2
,"124 W Polk St, Unit 00205",,,,,
"$4,995","3326 W North Ave, Unit 3",,2.5,"1,900 Sq Ft",,3
,"6621 N Northwest Hwy, Unit 1N",,,,,
"$2,750","1608 W Sherwin Ave, Unit 503",,1.0,700 Sq Ft,,2
,"2341 W Montana St, Unit 001RA",,,,,
"$3,295","710 S Wells St, Unit 1611",,2.0,"1,200 Sq Ft",,2
,"744 N Clark St, Unit 2305",,,,,
"$2,900","2522 N Milwaukee Ave, Unit 1 Bed",,2.0,"1,050 Sq Ft",,2
,"195 N Harbor Dr, Unit 3104",,,,,
"$2,750",,,2.0,"1,010 Sq Ft",,2
,,,,,,
"$2,150",,,1.0,"1,200 Sq Ft",,2
,,,,,,
"$2,150",,,1.0,"1,100 Sq Ft",,1
,,,,,,
"$3,200",,,2.0,"1,450 Sq Ft",,3
,,,,,,
"$1,800",,,2.0,"1,200 Sq Ft",,2
,,,,,,
"$1,300",,,1.0,475 Sq Ft,,Studio
,,,,,,
"$2,200",,,1.0,"2,000 Sq Ft",,3
,,,,,,
"$3,078",,,2.0,"1,000 Sq Ft",,2
,,,,,,
"$2,105",,,1.0,757 Sq Ft,,1
,,,,,,
"$2,760",,,1.0,"1,300 Sq Ft",,1
,,,,,,
"$3,100",,,2.0,,,2
,,,,,,
"$2,650","2839 North Whipple Street, Chicago, IL 60618, USA",,1.0,"1,600 Sq Ft",,2
,"4451 North Tripp Avenue, Chicago, IL 60630, USA",,,,,
"$5,000","3918 N Kedvale Ave, Unit 02N",,3.0,"3,005 Sq Ft",,4
,"4034 N Ashland Ave, Unit CL#4034-W2",,,,,
"$1,850","724 W Roscoe St, Unit 726-SG",,1.0,600 Sq Ft,,2
,"1324 W 19th St, Unit 02R",,,,,
"$1,525","2906 N Mildred Ave, Chicago, IL 60657, USA",,1.0,"1,185 Sq Ft",,1
,"4515 North Christiana Avenue, Chicago, IL 60625, USA",,,,,
"$2,295","3734-3738 West Lawrence Avenue, Chicago, IL 60625, USA",,1.0,"1,000 Sq Ft",,1
,"745 N Noble St, Unit 2R",,,,,
"$1,500","2047 N Hoyne Ave, Unit 1S",,1.0,940 Sq Ft,,1
,"1425 N Dearborn St, Unit 00C1",,,,,
"$1,925","1160 W Grand Ave, Unit 2R",,1.0,800 Sq Ft,,1
,"3421 W Mc Lean Ave, Unit 1",,,,,
"$2,400","1213 W Erie St, Unit CH",,1.0,800 Sq Ft,,3
,"7427 N Clark St, Unit 3",,,,,
"$1,500","Chicago, IL",,1.0,900 Sq Ft,,2
,1501 West Fullerton Avenue,,,,,
"$1,500","Concord City Centre, 208 West Washington Street, Chicago, IL 60606, USA",,1.0,"1,100 Sq Ft",,1
,"445 W Wellington Ave, Unit 1E",,,,,
"$2,650","429 W Belden Ave, Unit cl#GDNS",,1.0,"1,000 Sq Ft",,2
,"606 East Woodland Park, Chicago, IL 60616, USA",,,,,
"$2,095",,,1.0,614 Sq Ft,,1
,,,,,,
"$1,890",,,1.0,"1,100 Sq Ft",,1
,,,,,,
"$1,995",,,1.0,1 Sq Ft,,2
,,,,,,
"$3,495",,,3.0,"1,039 Sq Ft",,2
,,,,,,
"$2,300",,,1.0,,,3
,,,,,,
"$2,760",,,1.0,,,1
,,,,,,
"$2,500",,,1.0,,,2
,,,,,,
"$2,800",,,2.0,,,2
,,,,,,
"$1,995",,,1.0,,,1
,,,,,,
"$1,895",,,1.0,,,1
,,,,,,
"$2,245",,,2.0,,,2
,,,,,,
"$2,350","656 W Wrightwood Ave, Chicago, IL 60614, USA",,1.0,600 Sq Ft,,1
,"445 W Barry Ave, Chicago, IL 60657, USA",,,,,
"$3,050","2219 N Clybourn Ave, Unit 502",,2.0,950 Sq Ft,,3
,"11146 S Vernon Ave, Unit 1",,,,,
"$3,600","490 North Kingsbury Street, Unit 1307",,2.0,"1,200 Sq Ft",,2
,"5860 N Kenmore Ave, Unit 302",,,,,
"$1,700","1553 N Wells St, Unit 501",,1.0,"1,500 Sq Ft",,3
,"4637 N Ashland Ave, Unit 00103I",,,,,
"$3,589","536 W Arlington Pl, Chicago, IL 60614, USA",,2.0,"1,350 Sq Ft",,2
,"Running Away Multisport, 2217-2219 North Clybourn Avenue, Chicago, IL 60614, USA",,,,,
"$1,550","1440 South Wabash Avenue, Chicago, IL 60605, USA",,1.0,520 Sq Ft,,1
,"3000 80th Avenue, River Grove, Leyden Township, IL 60171, USA",,,,,
"$4,150","3320 W Altgeld St, Unit 1F",,2.0,"1,115 Sq Ft",,2
,"124 W Polk St, Unit 00205",,,,,
"$4,995","3326 W North Ave, Unit 3",,2.5,"1,900 Sq Ft",,3
,"6621 N Northwest Hwy, Unit 1N",,,,,
